geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1108,-23.52723217,-46.63035442,sao paulo,SP
1109,-23.5246249,-46.62710324,sao paulo,SP
1120,-23.53016253,-46.63951141,sao paulo,SP
1121,-23.52786666,-46.63525692,sao paulo,SP
1122,-23.5311306,-46.63832483,são paulo,SP
1123,-23.52916454,-46.63658239,sao paulo,SP
1124,-23.52822123,-46.6330954,sao paulo,SP
1125,-23.52728845,-46.64016432,sao paulo,SP
1126,-23.52706655,-46.63915279,sao paulo,SP
1127,-23.5254808,-46.64159549,sao paulo,SP
1128,-23.52378674,-46.64220966,sao paulo,SP
1129,-23.52405139,-46.64507304,sao paulo,SP
1130,-23.52483082,-46.64492992,sao paulo,SP
1131,-23.52237974,-46.64310785,sao paulo,SP
1132,-23.52153988,-46.64873923,sao paulo,SP
1133,-23.52042428,-46.65332231,sao paulo,SP
1134,-23.51889994,-46.65269034,são paulo,SP
1135,-23.52619043,-46.65097004,sao paulo,SP
1136,-23.52398692,-46.66135135,são paulo,SP
1137,-23.52285148,-46.65280923,são paulo,SP
1138,-23.52245582,-46.6552539,sao paulo,SP
1139,-23.52072496,-46.66593897,sao paulo,SP
1140,-23.52043844,-46.66923717,sao paulo,SP
1141,-23.52031033,-46.66643901,são paulo,SP
1142,-23.51993431,-46.62513002,sao paulo,SP
1144,-23.52357275,-46.67242459,sao paulo,SP
1150,-23.53295302,-46.65824594,sao paulo,SP
1151,-23.53164158,-46.65628875,sao paulo,SP
1152,-23.52988485,-46.65527643,sao paulo,SP
1153,-23.52993085,-46.65354909,são paulo,SP
1154,-23.5305359,-46.6592957,sao paulo,SP
1155,-23.52907288,-46.66331995,sao paulo,SP
1156,-23.52892114,-46.66643725,são paulo,SP
1189,-23.53210826,-46.6383947,sao paulo,SP
1200,-23.53156777,-46.64986908,sao paulo,SP
1201,-23.53608281,-46.64953939,sao paulo,SP
1202,-23.53374258,-46.64828045,são paulo,SP
1203,-23.53596466,-46.64529956,sao paulo,SP
1204,-23.53599264,-46.64408982,sao paulo,SP
1205,-23.53649077,-46.64264197,são paulo,SP
1206,-23.53586369,-46.64281871,sao paulo,SP
1207,-23.53917556,-46.63865415,sao paulo,SP
1208,-23.5386605,-46.63898205,sao paulo,SP
1209,-23.54069526,-46.64158294,sao paulo,SP
1210,-23.54003934,-46.64209131,são paulo,SP
1211,-23.53757657,-46.6488379,sao paulo,SP
1212,-23.53826851,-46.63942263,são paulo,SP
1213,-23.53650149,-46.64036116,sao paulo,SP
1214,-23.53884249,-46.64523045,sao paulo,SP
1215,-23.5361674,-46.64754186,são paulo,SP
1216,-23.53312759,-46.64783381,sao paulo,SP
1217,-23.53265756,-46.64888399,sao paulo,SP
1218,-23.5312498,-46.64832514,são paulo,SP
1219,-23.54128881,-46.6456986,sao paulo,SP
1220,-23.54451401,-46.6460399,sao paulo,SP
1221,-23.5448677,-46.64828172,sao paulo,SP
1222,-23.54594454,-46.64936937,são paulo,SP
1223,-23.54408812,-46.64858212,sao paulo,SP
1224,-23.54177865,-46.65242234,sao paulo,SP
1225,-23.53978602,-46.64913883,sao paulo,SP
1226,-23.53801011,-46.65271927,são paulo,SP
1227,-23.54620191,-46.65838458,sao paulo,SP
1228,-23.54518938,-46.65761086,sao paulo,SP
1229,-23.53890161,-46.65729113,sao paulo,SP
1230,-23.53631041,-46.65711201,sao paulo,SP
1231,-23.53695041,-46.65925589,sao paulo,SP
1232,-23.536428,-46.65742601,sao paulo,SP
1233,-23.53624654,-46.66166522,sao paulo,SP
1234,-23.53968956,-46.66424404,sao paulo,SP
1235,-23.53671428,-46.6646663,sao paulo,SP
1236,-23.54355022,-46.66741941,sao paulo,SP
1237,-23.54323445,-46.6687244,sao paulo,SP
1238,-23.5425714,-46.65424333,sao paulo,SP
1239,-23.54309527,-46.6310592,sao paulo,SP
1240,-23.54379184,-46.65854396,sao paulo,SP
1241,-23.54552479,-46.65784019,são paulo,SP
1242,-23.54650695,-46.65850175,sao paulo,SP
1243,-23.5481203,-46.65919185,sao paulo,SP
1244,-23.56204913,-46.65959031,sao paulo,SP
1245,-23.54947552,-46.66382107,são paulo,SP
1246,-23.5534813,-46.66631848,sao paulo,SP
1247,-23.55063807,-46.6686558,são paulo,SP
1248,-23.54791252,-46.66802631,sao paulo,SP
1249,-23.54841989,-46.67122045,sao paulo,SP
1250,-23.54764048,-46.67197263,sao paulo,SP
1251,-23.54837452,-46.67484647,são paulo,SP
1252,-23.54175398,-46.67893404,sao paulo,SP
1253,-23.54492913,-46.67916469,sao paulo,SP
1254,-23.54333742,-46.6808524,são paulo,SP
1255,-23.54636984,-46.68154173,sao paulo,SP
1256,-23.54777326,-46.68283835,são paulo,SP
1257,-23.54360984,-46.68783858,sao paulo,SP
1258,-23.54403702,-46.68685091,sao paulo,SP
1259,-23.54141855,-46.6853039,sao paulo,SP
1262,-23.55085639,-46.67735185,sao paulo,SP
1290,-23.54096134,-46.6577487,são paulo,SP
1301,-23.54932897,-46.6508901,sao paulo,SP
1302,-23.54900292,-46.64955228,sao paulo,SP
1303,-23.5495057,-46.64843251,sao paulo,SP
1304,-23.55405643,-46.65520237,sao paulo,SP
1305,-23.55262274,-46.65253829,sao paulo,SP
1306,-23.55378521,-46.6496051,sao paulo,SP
1307,-23.55277801,-46.6532077,sao paulo,SP
1308,-23.55598137,-46.65331111,sao paulo,SP
1309,-23.55549308,-46.65845219,são paulo,SP
1310,-23.56165295,-46.6560213,sao paulo,SP
1311,-23.56450461,-46.65279266,sao paulo,SP
1312,-23.55479387,-46.64961492,sao paulo,SP
1313,-23.5561117,-46.65057381,sao paulo,SP
1314,-23.55264073,-46.64520438,sao paulo,SP
1315,-23.55409,-46.6403891,sao paulo,SP
1316,-23.55295485,-46.63943282,sao paulo,SP
1317,-23.55623821,-46.64005987,sao paulo,SP
1318,-23.55944799,-46.64241274,sao paulo,SP
1319,-23.55188166,-46.64072797,são paulo,SP
1320,-23.55795506,-46.6393474,sao paulo,SP
1321,-23.56212863,-46.64191855,sao paulo,SP
1322,-23.56317166,-46.64345614,sao paulo,SP
1323,-23.56573478,-46.6414781,sao paulo,SP
1324,-23.55521474,-46.64315074,sao paulo,SP
1325,-23.55739016,-46.64445834,sao paulo,SP
1326,-23.55653901,-46.64543956,sao paulo,SP
1327,-23.56511342,-46.64494458,sao paulo,SP
1328,-23.55599269,-46.6467948,sao paulo,SP
1329,-23.56197752,-46.6472811,sao paulo,SP
1330,-23.55903789,-46.64945884,sao paulo,SP
1331,-23.56266441,-46.64999666,sao paulo,SP
1332,-23.55956859,-46.65245164,sao paulo,SP
1333,-23.56643505,-46.6475636,sao paulo,SP
1401,-23.57580725,-46.65865463,sao paulo,SP
1402,-23.57483739,-46.65739204,sao paulo,SP
1403,-23.56875504,-46.65340944,são paulo,SP
1404,-23.56854473,-46.65578028,sao paulo,SP
1405,-23.56476258,-46.65513839,sao paulo,SP
1406,-23.57481434,-46.67029927,são paulo,SP
1407,-23.57611188,-46.67139206,sao paulo,SP
1408,-23.5671119,-46.66081342,sao paulo,SP
1409,-23.56146082,-46.658262,sao paulo,SP
1410,-23.56283145,-46.66092525,sao paulo,SP
1411,-23.56424787,-46.66405957,sao paulo,SP
1412,-23.56365158,-46.66602412,são paulo,SP
1413,-23.5618145,-46.66403395,são paulo,SP
1414,-23.55962349,-46.66349646,são paulo,SP
1415,-23.55609172,-46.6604622,sao paulo,SP
1416,-23.56069291,-46.66768853,sao paulo,SP
1417,-23.55277885,-46.6339319,sao paulo,SP
1418,-23.56411615,-46.6552724,sao paulo,SP
1419,-23.56354162,-46.65594961,sao paulo,SP
1420,-23.56343549,-46.65791604,sao paulo,SP
1421,-23.56329926,-46.66015369,são paulo,SP
1422,-23.56396191,-46.66113237,sao paulo,SP
1423,-23.56914512,-46.65734767,sao paulo,SP
1424,-23.56804146,-46.66139884,sao paulo,SP
1425,-23.57289853,-46.65924739,sao paulo,SP
1426,-23.5658604,-46.6660317,sao paulo,SP
1427,-23.57104476,-46.66406861,são paulo,SP
1428,-23.57393887,-46.66232632,sao paulo,SP
1429,-23.57638446,-46.66290001,são paulo,SP
1430,-23.65614006,-46.66250205,sao paulo,SP
1431,-23.62038878,-46.66476818,sao paulo,SP
1432,-23.57648588,-46.66578606,sao paulo,SP
1433,-23.57840745,-46.66837296,são paulo,SP
1434,-23.57464654,-46.6723774,sao paulo,SP
1435,-23.57932185,-46.67017867,sao paulo,SP
1436,-23.57245539,-46.66798872,sao paulo,SP
1437,-23.57214125,-46.6715033,sao paulo,SP
1438,-23.56980371,-46.67226488,sao paulo,SP
1439,-23.56628949,-46.67357142,sao paulo,SP
1440,-23.56828946,-46.67817025,sao paulo,SP
1441,-23.57060389,-46.6837321,são paulo,SP
1442,-23.56653073,-46.67861606,sao paulo,SP
1443,-23.56826894,-46.68450786,sao paulo,SP
1444,-23.57323554,-46.68752695,sao paulo,SP
1445,-23.57103798,-46.68806801,sao paulo,SP
1446,-23.57558379,-46.67549889,sao paulo,SP
1447,-23.57278681,-46.67888556,sao paulo,SP
1448,-23.5782379,-46.67982269,sao paulo,SP
1449,-23.57611692,-46.6799567,sao paulo,SP
1450,-23.57645318,-46.68518509,sao paulo,SP
1451,-23.57743595,-46.68698985,sao paulo,SP
1452,-23.57499645,-46.68887938,sao paulo,SP
1453,-23.584059,-46.68637611,sao paulo,SP
1454,-23.58237698,-46.68670276,sao paulo,SP
1455,-23.58055414,-46.69112137,sao paulo,SP
1456,-23.57683977,-46.69098725,sao paulo,SP
1457,-23.57523781,-46.69270351,sao paulo,SP
1472,-23.57054369,-46.69129668,sao paulo,SP
1489,-23.57664999,-46.68740005,sao paulo,SP
1501,-23.55246936,-46.63548544,são paulo,SP
1502,-23.55460594,-46.63549256,sao paulo,SP
1503,-23.557709,-46.63676937,são paulo,SP
1504,-23.56686058,-46.6395053,sao paulo,SP
1505,-23.55526761,-46.63182476,são paulo,SP
1506,-23.55955867,-46.63503219,são paulo,SP
1507,-23.55814642,-46.63176589,são paulo,SP
1508,-23.56142363,-46.63583006,sao paulo,SP
1509,-23.56701008,-46.63579814,sao paulo,SP
1510,-23.55760216,-46.63361528,sao paulo,SP
1511,-23.56145681,-46.63294794,sao paulo,SP
1512,-23.55371721,-46.6294991,sao paulo,SP
1513,-23.54891436,-46.60384462,sao paulo,SP
1514,-23.55437782,-46.62833777,sao paulo,SP
1516,-23.55907324,-46.61547996,sao paulo,SP
1517,-23.55961328,-46.62400348,sao paulo,SP
1518,-23.55920926,-46.62318692,sao paulo,SP
1519,-23.56092636,-46.62475707,sao paulo,SP
1520,-23.55937827,-46.62016402,sao paulo,SP
1521,-23.56117444,-46.62150903,sao paulo,SP
1522,-23.55992027,-46.61598187,sao paulo,SP
1523,-23.56420348,-46.61689706,sao paulo,SP
1524,-23.56778327,-46.61340054,sao paulo,SP
1525,-23.56402898,-46.63495391,sao paulo,SP
1526,-23.56595227,-46.63094392,sao paulo,SP
1527,-23.56243917,-46.62919221,sao paulo,SP
1528,-23.56477005,-46.62716592,sao paulo,SP
1529,-23.56843916,-46.63455549,sao paulo,SP
1530,-23.5689445,-46.63008919,sao paulo,SP
1531,-23.57076063,-46.63242525,sao paulo,SP
1532,-23.57053422,-46.63611188,sao paulo,SP
1533,-23.57116812,-46.63836454,sao paulo,SP
1534,-23.56754359,-46.62608514,sao paulo,SP
1535,-23.57243321,-46.62524136,sao paulo,SP
1536,-23.56903213,-46.62343627,sao paulo,SP
1537,-23.57442285,-46.62313726,sao paulo,SP
1538,-23.57631282,-46.62362935,são paulo,SP
1539,-23.57115286,-46.62043601,sao paulo,SP
1540,-23.56585135,-46.62258151,sao paulo,SP
1541,-23.56925274,-46.61861697,sao paulo,SP
1542,-23.57106583,-46.62406014,sao paulo,SP
1543,-23.57372098,-46.62387177,sao paulo,SP
1544,-23.57725543,-46.62163174,sao paulo,SP
1545,-23.58097414,-46.61831033,sao paulo,SP
1546,-23.57903932,-46.62195565,são paulo,SP
1547,-23.58299396,-46.62112676,sao paulo,SP
1548,-23.57692715,-46.61342079,sao paulo,SP
1549,-23.57631753,-46.61558666,sao paulo,SP
1550,-23.57305661,-46.61615055,sao paulo,SP
1551,-23.57273791,-46.61268007,sao paulo,SP
1552,-23.5694907,-46.61132177,sao paulo,SP
1553,-23.57448792,-46.60919808,sao paulo,SP
2009,-23.5157991,-46.64113909,sao paulo,SP
2010,-23.51056159,-46.62635497,são paulo,SP
2011,-23.50438503,-46.62662105,sao paulo,SP
2012,-23.51306603,-46.63196818,sao paulo,SP
2013,-23.50220617,-46.63311454,sao paulo,SP
2016,-23.50398484,-46.62567216,sao paulo,SP
2017,-23.50074294,-46.63469458,são paulo,SP
2018,-23.49570371,-46.6297069,sao paulo,SP
2019,-23.49826308,-46.62965156,sao paulo,SP
2020,-23.4964686,-46.63329281,sao paulo,SP
2021,-23.49830914,-46.6358859,sao paulo,SP
2022,-23.5040739,-46.63767093,são paulo,SP
2028,-23.50870254,-46.61833692,sao paulo,SP
2029,-23.50936208,-46.61934355,sao paulo,SP
2030,-23.50587134,-46.62468257,sao paulo,SP
2031,-23.51006271,-46.62577816,sao paulo,SP
2032,-23.51106826,-46.62384982,sao paulo,SP
2033,-23.49990045,-46.61504999,sao paulo,SP
2034,-23.50407288,-46.62414422,sao paulo,SP
2035,-23.49621131,-46.62282501,são paulo,SP
2036,-23.50174431,-46.62080286,sao paulo,SP
2037,-23.49971822,-46.62055505,sao paulo,SP
2038,-23.49523753,-46.62416228,sao paulo,SP
2039,-23.4930251,-46.62160348,sao paulo,SP
2040,-23.48965996,-46.62257167,sao paulo,SP
2041,-23.49062648,-46.6230798,sao paulo,SP
2042,-23.4942339,-46.61637715,sao paulo,SP
2043,-23.48994342,-46.61612446,sao paulo,SP
2044,-23.49572472,-46.61878797,sao paulo,SP
2045,-23.49614649,-46.61640292,sao paulo,SP
2046,-23.49228046,-46.6117694,sao paulo,SP
2047,-23.51721555,-46.61867396,sao paulo,SP
2049,-23.51416659,-46.61736559,são paulo,SP
2050,-23.51734415,-46.61213523,são paulo,SP
2051,-23.50998834,-46.60776442,sao paulo,SP
2052,-23.51297447,-46.60778378,sao paulo,SP
2053,-23.5132276,-46.60279269,sao paulo,SP
2054,-23.51719551,-46.60669921,sao paulo,SP
2055,-23.51402973,-46.60712616,sao paulo,SP
2056,-23.51230213,-46.60278808,são paulo,SP
2060,-23.51900516,-46.60286093,sao paulo,SP
2064,-23.51767696,-46.59796463,sao paulo,SP
2065,-23.50771124,-46.6053693,sao paulo,SP
2066,-23.50864331,-46.60529567,sao paulo,SP
2067,-23.50672028,-46.60365342,sao paulo,SP
2068,-23.50513251,-46.61237532,sao paulo,SP
2069,-23.50553434,-46.61392771,sao paulo,SP
2071,-23.50427876,-46.60642767,sao paulo,SP
2072,-23.50016493,-46.60405534,sao paulo,SP
2073,-23.50183203,-46.60713393,sao paulo,SP
2074,-23.50521986,-46.6004475,sao paulo,SP
2075,-23.50545422,-46.60232703,sao paulo,SP
2076,-23.50466053,-46.59909846,sao paulo,SP
2077,-23.50231616,-46.5972944,sao paulo,SP
2078,-23.50224822,-46.59560967,sao paulo,SP
2079,-23.49928771,-46.60578508,sao paulo,SP
2080,-23.49767042,-46.60536157,sao paulo,SP
2081,-23.49584133,-46.60469932,sao paulo,SP
2082,-23.49459706,-46.60716679,sao paulo,SP
2083,-23.49532146,-46.59793556,sao paulo,SP
2084,-23.49727522,-46.59974306,sao paulo,SP
2085,-23.49795268,-46.61296774,sao paulo,SP
2088,-23.50424026,-46.62074207,sao paulo,SP
2089,-23.51709448,-46.6166731,sao paulo,SP
2110,-23.51909747,-46.59553885,sao paulo,SP
2111,-23.517643,-46.59275688,sao paulo,SP
2112,-23.51744862,-46.59045122,são paulo,SP
2113,-23.5177205,-46.58922662,sao paulo,SP
2114,-23.52231793,-46.59061483,sao paulo,SP
2115,-23.52658965,-46.59169266,sao paulo,SP
2116,-23.52011068,-46.58524004,sao paulo,SP
2117,-23.51865496,-46.59365985,sao paulo,SP
2118,-23.51500651,-46.59277463,sao paulo,SP
2119,-23.5122078,-46.59263905,sao paulo,SP
2120,-23.5108244,-46.59388576,são paulo,SP
2121,-23.51222907,-46.58968332,sao paulo,SP
2122,-23.51196609,-46.58386438,sao paulo,SP
2123,-23.51183808,-46.5794425,sao paulo,SP
2124,-23.50697691,-46.57712086,sao paulo,SP
2125,-23.50983995,-46.58680335,sao paulo,SP
2126,-23.50689802,-46.59175115,sao paulo,SP
2127,-23.50559797,-46.58726574,sao paulo,SP
2128,-23.50501952,-46.59394256,sao paulo,SP
2129,-23.50371906,-46.58829103,sao paulo,SP
2130,-23.5084675,-46.58356367,são paulo,SP
2131,-23.50432881,-46.58250945,sao paulo,SP
2132,-23.50132093,-46.57765663,sao paulo,SP
2133,-23.49908122,-46.58472477,sao paulo,SP
2134,-23.49861327,-46.57978572,sao paulo,SP
2135,-23.49793219,-46.58461229,sao paulo,SP
2136,-23.49875432,-46.58237728,são paulo,SP
2137,-23.49795327,-46.5761187,sao paulo,SP
2138,-23.49346386,-46.57451698,sao paulo,SP
2139,-23.49046827,-46.5735302,são paulo,SP
2141,-23.48898688,-46.57065328,são paulo,SP
2142,-23.51019871,-46.57671782,sao paulo,SP
2143,-23.50721745,-46.57496713,sao paulo,SP
2144,-23.50369565,-46.57075617,sao paulo,SP
2145,-23.50235733,-46.5662593,sao paulo,SP
2146,-23.50095702,-46.57088226,sao paulo,SP
2147,-23.49836193,-46.5651667,são paulo,SP
2150,-23.49403467,-46.56863321,sao paulo,SP
2151,-23.49696272,-46.5695526,sao paulo,SP
2152,-23.49736137,-46.57223173,são paulo,SP
2161,-23.49016519,-46.56928372,são paulo,SP
2162,-23.49065321,-46.56283079,são paulo,SP
2166,-23.52520906,-46.58402155,sao paulo,SP
2167,-23.52269576,-46.58161991,sao paulo,SP
2168,-23.52060553,-46.5795034,são paulo,SP
2169,-23.54958485,-46.62029999,sao paulo,SP
2170,-23.5256443,-46.57701341,são paulo,SP
2174,-23.52292354,-46.57242472,sao paulo,SP
2175,-23.51588669,-46.57489159,sao paulo,SP
2176,-23.5135989,-46.57306529,sao paulo,SP
2177,-23.50873434,-46.5585299,sao paulo,SP
2178,-23.52166499,-46.57052388,são paulo,SP
2179,-23.52041006,-46.56823534,sao paulo,SP
2180,-23.51921071,-46.56595571,sao paulo,SP
2181,-23.51868748,-46.56102076,são paulo,SP
2185,-23.51469915,-46.56748611,sao paulo,SP
2186,-23.5140562,-46.56906006,sao paulo,SP
2187,-23.51587139,-46.56490978,sao paulo,SP
2188,-23.50946619,-46.56698199,sao paulo,SP
2189,-23.50778714,-46.56746771,são paulo,SP
2190,-23.50714805,-46.56397315,sao paulo,SP
2201,-23.48622893,-46.59200613,são paulo,SP
2202,-23.49304868,-46.5948155,sao paulo,SP
2203,-23.49187083,-46.59134808,sao paulo,SP
2204,-23.48741125,-46.59216239,sao paulo,SP
2205,-23.48798816,-46.59119431,sao paulo,SP
2206,-23.48462057,-46.59404548,são paulo,SP
2207,-23.48598549,-46.58818876,sao paulo,SP
2208,-23.48301554,-46.58951865,sao paulo,SP
2209,-23.48512579,-46.58537752,sao paulo,SP
2210,-23.48255994,-46.58210234,sao paulo,SP
2211,-23.497399,-46.59360544,sao paulo,SP
2212,-23.49564747,-46.58925914,sao paulo,SP
2213,-23.49616631,-46.58812571,sao paulo,SP
2214,-23.49285144,-46.58679822,são paulo,SP
2215,-23.49075875,-46.58336932,sao paulo,SP
2216,-23.49305791,-46.57978444,sao paulo,SP
2217,-23.49035366,-46.58017566,são paulo,SP
2218,-23.48678709,-46.58480846,sao paulo,SP
2219,-23.49077674,-46.58592662,sao paulo,SP
2220,-23.48976062,-46.57767652,sao paulo,SP
2221,-23.48150572,-46.58142023,sao paulo,SP
2222,-23.48255552,-46.57558644,sao paulo,SP
2223,-23.48163665,-46.58016704,sao paulo,SP
2224,-23.48450506,-46.57377385,sao paulo,SP
2225,-23.4827223,-46.57510689,sao paulo,SP
2226,-23.48013035,-46.57362187,sao paulo,SP
2227,-23.47872505,-46.572374,sao paulo,SP
2228,-23.47549563,-46.57154155,sao paulo,SP
2229,-23.47657332,-46.56882033,sao paulo,SP
2230,-23.48377507,-46.56365866,sao paulo,SP
2231,-23.47687574,-46.56526256,são paulo,SP
2232,-23.47570139,-46.56397252,sao paulo,SP
2233,-23.47765612,-46.56457732,sao paulo,SP
2234,-23.47853874,-46.56954462,são paulo,SP
2235,-23.47933264,-46.57594036,sao paulo,SP
2236,-23.4726026,-46.56815996,sao paulo,SP
2237,-23.51312063,-46.5864721,sao paulo,SP
2238,-23.47120504,-46.57158334,sao paulo,SP
2239,-23.48530328,-46.60905983,sao paulo,SP
2240,-23.47788563,-46.60221185,sao paulo,SP
2241,-23.49066871,-46.60743926,sao paulo,SP
2242,-23.48761471,-46.60399102,sao paulo,SP
2243,-23.49161848,-46.60386923,sao paulo,SP
2244,-23.48851487,-46.60486616,sao paulo,SP
2245,-23.48477659,-46.60659424,sao paulo,SP
2246,-23.4887119,-46.6016873,sao paulo,SP
2247,-23.48606715,-46.60124172,sao paulo,SP
2248,-23.48317935,-46.59943327,sao paulo,SP
2249,-23.48887565,-46.59708898,sao paulo,SP
2250,-23.48651651,-46.59621632,sao paulo,SP
2251,-23.47752139,-46.5903397,sao paulo,SP
2252,-23.47874415,-46.58831652,sao paulo,SP
2253,-23.47935424,-46.59550029,sao paulo,SP
2254,-23.48124701,-46.59340499,sao paulo,SP
2255,-23.47690064,-46.59193774,sao paulo,SP
2256,-23.47532549,-46.58721405,são paulo,SP
2257,-23.47289606,-46.58317659,sao paulo,SP
2258,-23.47598321,-46.58190464,sao paulo,SP
2259,-23.47175267,-46.58096467,são paulo,SP
2260,-23.46919701,-46.57960857,sao paulo,SP
2261,-23.46750515,-46.57729621,sao paulo,SP
2262,-23.46551593,-46.57482883,sao paulo,SP
2263,-23.46347817,-46.57580822,são paulo,SP
2264,-23.46233583,-46.57655861,são paulo,SP
2265,-23.47425422,-46.59202536,são paulo,SP
2266,-23.47714887,-46.59818685,são paulo,SP
2267,-23.47873697,-46.60073593,sao paulo,SP
2268,-23.46981128,-46.59488943,sao paulo,SP
2269,-23.47208025,-46.59597729,são paulo,SP
2270,-23.47248763,-46.59303991,sao paulo,SP
2271,-23.46969889,-46.58996022,sao paulo,SP
2272,-23.46925364,-46.58668,sao paulo,SP
2273,-23.46351377,-46.58623732,sao paulo,SP
2274,-23.46705178,-46.58792076,sao paulo,SP
2275,-23.46570002,-46.59026923,sao paulo,SP
2276,-23.46119305,-46.5840976,sao paulo,SP
2277,-23.46367387,-46.58178259,sao paulo,SP
2278,-23.46279677,-46.57962451,sao paulo,SP
2279,-23.4668735,-46.58000204,sao paulo,SP
2280,-23.45589628,-46.57516163,sao paulo,SP
2281,-23.45198743,-46.57510494,sao paulo,SP
2282,-23.44306661,-46.56777481,sao paulo,SP
2284,-23.4697032,-46.56868272,sao paulo,SP
2286,-23.40858677,-46.57960324,sao paulo,SP
2288,-23.43372558,-46.57085753,sao paulo,SP
2289,-23.4184979,-46.58268766,sao paulo,SP
2290,-23.600462,-46.65531792,sao paulo,SP
2301,-23.48866386,-46.61501893,sao paulo,SP
2302,-23.48603651,-46.61401079,sao paulo,SP
2303,-23.48200957,-46.61050118,sao paulo,SP
2304,-23.48082371,-46.60545933,sao paulo,SP
2305,-23.48009446,-46.60676524,sao paulo,SP
2306,-23.46336881,-46.60347842,sao paulo,SP
2307,-23.48089054,-46.60727664,sao paulo,SP
2308,-23.47641794,-46.60421037,sao paulo,SP
2309,-23.47567348,-46.60473543,sao paulo,SP
2310,-23.47281466,-46.60072915,sao paulo,SP
2311,-23.46912289,-46.6016795,sao paulo,SP
2312,-23.46480506,-46.59871242,são paulo,SP
2313,-23.46395542,-46.5998997,sao paulo,SP
2314,-23.46206442,-46.59934772,sao paulo,SP
2315,-23.45999643,-46.5997497,sao paulo,SP
2316,-23.46226584,-46.59383969,sao paulo,SP
2317,-23.45811933,-46.59316747,sao paulo,SP
2318,-23.45085924,-46.59011057,sao paulo,SP
2319,-23.44972136,-46.59336446,são paulo,SP
2320,-23.45135042,-46.59842364,sao paulo,SP
2321,-23.44720246,-46.58897798,sao paulo,SP
2322,-23.44570552,-46.59369913,sao paulo,SP
2323,-23.45632475,-46.60109653,sao paulo,SP
2324,-23.47795551,-46.59847672,sao paulo,SP
2325,-23.45353682,-46.58604069,sao paulo,SP
2326,-23.4722183,-46.6024734,sao paulo,SP
2327,-23.44720951,-46.56667831,sao paulo,SP
2328,-23.51891636,-46.59730688,sao paulo,SP
2329,-23.48360275,-46.60667699,sao paulo,SP
